Change_ID,Transaction_ID,Changed_By,Change_Type,Old_Value,New_Value,Change_Timestamp,Reason
CHG00000259,TXN000004032,System,Channel Update,Online,ATM,2024-01-25 09:51:52,Duplicate txn
CHG00000260,TXN000004221,Ops_User_3,Amount Correction,5046.48,4633.035128302526,2023-09-14 23:34:56,Chargeback
CHG00000261,TXN000003552,System,Merchant Update,Groceries,E-commerce,2024-09-10 00:01:35,Manual review
CHG00000262,TXN000003039,Ops_User_31,Channel Update,ATM,POS,2022-10-23 09:03:27,Chargeback
CHG00000263,TXN000001230,Ops_User_20,Amount Correction,2189.63,2119.1794129924906,2025-07-05 02:49:01,Duplicate txn
CHG00000264,TXN000004797,Ops_User_7,Merchant Update,Travel,Entertainment,2022-05-06 08:57:30,Chargeback
CHG00000265,TXN000003856,System,Status Update,Completed,Completed,2022-10-08 23:29:01,Customer dispute
CHG00000266,TXN000003072,System,Merchant Update,Travel,Fuel,2025-02-15 17:49:54,Manual review
CHG00000267,TXN000003506,Ops_User_9,Reversal,Completed,Reversed,2022-05-09 05:50:44,Manual review
CHG00000268,TXN000004853,System,Merchant Update,Fuel,Travel,2022-02-15 08:18:50,Manual review
CHG00000269,TXN000003730,System,Amount Correction,1124.31,1071.055155880419,2023-11-20 03:01:46,Duplicate txn
CHG00000270,TXN000002754,System,Amount Correction,654.65,672.1576370202868,2022-06-15 06:45:43,Bank correction
CHG00000271,TXN000001321,Ops_User_5,Status Update,Completed,Pending,2022-05-05 08:37:31,Chargeback
CHG00000272,TXN000001033,System,Status Update,Completed,Reversed,2024-06-02 12:10:28,Customer dispute
CHG00000273,TXN000000745,Ops_User_5,Merchant Update,Groceries,E-commerce,2025-09-23 06:04:37,Manual review
CHG00000274,TXN000004104,System,Reversal,Completed,Reversed,2024-05-04 03:31:00,Manual review
CHG00000275,TXN000000945,System,Reversal,Completed,Reversed,2022-05-30 18:53:49,Manual review
CHG00000276,TXN000003615,Ops_User_9,Amount Correction,2559.31,2462.1424579379973,2023-08-17 09:25:35,Duplicate txn
CHG00000277,TXN000001172,Ops_User_3,Merchant Update,Dining,Utilities,2022-03-16 22:40:29,Manual review
CHG00000278,TXN000002257,Ops_User_32,Merchant Update,Groceries,Travel,2024-03-31 18:49:04,Chargeback
CHG00000279,TXN000001799,Ops_User_5,Amount Correction,453.46,441.8368341589459,2022-07-09 21:45:53,Chargeback
CHG00000280,TXN000004972,System,Status Update,Completed,Failed,2025-06-06 13:45:10,Chargeback
CHG00000281,TXN000003596,System,Reversal,Completed,Reversed,2025-02-02 10:42:52,Customer dispute
CHG00000282,TXN000003941,Ops_User_23,Merchant Update,Groceries,Utilities,2023-02-26 15:24:43,Manual review
CHG00000283,TXN000003093,Ops_User_35,Merchant Update,Healthcare,E-commerce,2023-12-08 02:35:04,Duplicate txn
CHG00000284,TXN000002111,System,Status Update,Completed,Completed,2023-09-11 23:51:26,Manual review
CHG00000285,TXN000001756,Ops_User_38,Reversal,Completed,Reversed,2025-04-08 09:00:07,Manual review
CHG00000286,TXN000002201,System,Status Update,Pending,Pending,2025-02-27 02:22:21,Manual review
CHG00000287,TXN000000785,System,Channel Update,ATM,Mobile App,2022-12-04 10:15:41,Customer dispute
CHG00000288,TXN000002899,System,Reversal,Completed,Reversed,2022-10-28 17:48:06,Duplicate txn
CHG00000289,TXN000004480,System,Status Update,Completed,Completed,2022-02-10 10:51:39,Manual review
CHG00000290,TXN000001353,System,Status Update,Completed,Completed,2023-09-02 23:01:45,Manual review
CHG00000291,TXN000001506,Ops_User_29,Reversal,Completed,Reversed,2022-11-11 07:03:27,Chargeback
CHG00000292,TXN000000601,Ops_User_6,Reversal,Completed,Reversed,2022-11-24 11:54:10,Chargeback
CHG00000293,TXN000002800,Ops_User_7,Status Update,Completed,Failed,2025-08-19 06:59:03,Bank correction
CHG00000294,TXN000004827,System,Amount Correction,3015.39,2775.7688058572376,2025-08-02 01:39:33,Duplicate txn
CHG00000295,TXN000000513,System,Status Update,Completed,Completed,2023-08-27 04:29:28,Bank correction
CHG00000296,TXN000001791,System,Status Update,Completed,Completed,2025-04-30 23:45:55,Duplicate txn
CHG00000297,TXN000001201,Ops_User_35,Status Update,Completed,Completed,2025-09-29 21:00:56,Customer dispute
CHG00000298,TXN000002241,System,Reversal,Completed,Reversed,2023-04-16 01:11:17,Duplicate txn
CHG00000299,TXN000004261,Ops_User_4,Amount Correction,9574.2,10408.078265847453,2023-05-10 20:45:27,Manual review
CHG00000300,TXN000003045,System,Amount Correction,142693.86,153821.50897873892,2022-07-27 10:40:23,Manual review
CHG00000301,TXN000003010,System,Merchant Update,Dining,Fuel,2024-05-27 04:18:11,Chargeback
CHG00000302,TXN000000804,System,Merchant Update,E-commerce,Education,2023-07-25 19:36:59,Bank correction
CHG00000303,TXN000000040,Ops_User_27,Amount Correction,875.84,869.3778312656251,2022-11-10 18:13:47,Manual review
CHG00000304,TXN000003985,System,Status Update,Completed,Reversed,2023-09-06 12:17:28,Chargeback
CHG00000305,TXN000001050,Ops_User_27,Merchant Update,Travel,E-commerce,2022-06-06 15:57:19,Duplicate txn
CHG00000306,TXN000003884,Ops_User_23,Amount Correction,36972.37,34840.99810639349,2023-10-27 10:58:50,Chargeback
CHG00000307,TXN000001238,Ops_User_30,Amount Correction,2411.52,2404.7367792831706,2022-10-16 12:35:24,Duplicate txn
CHG00000308,TXN000003485,Ops_User_25,Merchant Update,E-commerce,Fuel,2025-01-19 12:26:53,Manual review
CHG00000309,TXN000004805,Ops_User_37,Amount Correction,3919.56,3979.1879644904816,2022-05-18 09:10:51,Manual review
CHG00000310,TXN000004873,System,Merchant Update,Travel,Groceries,2024-11-03 19:31:39,Bank correction
CHG00000311,TXN000004830,Ops_User_7,Status Update,Completed,Completed,2024-11-16 16:16:47,Customer dispute
CHG00000312,TXN000001490,Ops_User_4,Reversal,Completed,Reversed,2025-05-21 13:50:35,Customer dispute
CHG00000313,TXN000002652,Ops_User_40,Status Update,Completed,Completed,2025-02-05 12:32:08,Bank correction
CHG00000314,TXN000000209,Ops_User_20,Status Update,Completed,Failed,2024-02-03 05:18:51,Bank correction
CHG00000315,TXN000000168,System,Channel Update,Online,Mobile App,2023-07-16 09:53:38,Chargeback
CHG00000316,TXN000001011,System,Reversal,Completed,Reversed,2025-06-03 12:24:07,Chargeback
CHG00000317,TXN000000237,System,Status Update,Completed,Completed,2025-03-21 14:08:49,Chargeback
CHG00000318,TXN000001306,System,Status Update,Completed,Completed,2024-04-30 13:50:13,Chargeback
CHG00000319,TXN000004159,System,Merchant Update,Healthcare,Education,2022-02-11 11:54:00,Chargeback
CHG00000320,TXN000000151,System,Reversal,Completed,Reversed,2023-02-13 15:32:08,Bank correction
CHG00000321,TXN000004254,System,Channel Update,Mobile App,Online,2023-05-15 19:01:26,Manual review
CHG00000322,TXN000002755,System,Channel Update,ATM,Mobile App,2023-03-18 18:15:00,Manual review
CHG00000323,TXN000004681,Ops_User_7,Reversal,Completed,Reversed,2023-12-22 10:24:15,Manual review
CHG00000324,TXN000004419,System,Channel Update,POS,Mobile App,2022-02-01 23:40:25,Chargeback
CHG00000325,TXN000003695,System,Merchant Update,Salary,E-commerce,2022-08-06 13:46:43,Manual review
CHG00000326,TXN000004871,Ops_User_34,Reversal,Completed,Reversed,2022-02-07 13:31:53,Chargeback
CHG00000327,TXN000002200,Ops_User_38,Amount Correction,54529.46,52384.43641804888,2022-06-11 22:38:45,Manual review
CHG00000328,TXN000000408,Ops_User_36,Channel Update,Branch,ATM,2023-06-26 07:08:03,Duplicate txn
CHG00000329,TXN000002809,System,Amount Correction,439.28,478.2563452165137,2023-11-12 12:44:05,Manual review
CHG00000330,TXN000000226,System,Amount Correction,177327.97,175316.87396889512,2023-06-09 11:20:50,Chargeback
CHG00000331,TXN000004951,Ops_User_26,Channel Update,ATM,Mobile App,2022-12-13 07:50:35,Duplicate txn
CHG00000332,TXN000001086,Ops_User_40,Status Update,Pending,Failed,2025-09-09 01:10:16,Duplicate txn
CHG00000333,TXN000001325,System,Merchant Update,Entertainment,Education,2025-08-13 02:07:41,Bank correction
CHG00000334,TXN000003135,Ops_User_34,Channel Update,ATM,Mobile App,2025-03-30 13:35:44,Customer dispute
CHG00000335,TXN000003953,Ops_User_5,Amount Correction,85550.22,81746.65182891452,2023-07-30 20:56:46,Customer dispute
CHG00000336,TXN000002960,System,Amount Correction,9007.36,8822.055850926094,2024-09-04 02:11:10,Chargeback
CHG00000337,TXN000004443,System,Reversal,Completed,Reversed,2025-01-10 13:49:16,Duplicate txn
CHG00000338,TXN000000970,Ops_User_23,Status Update,Completed,Pending,2023-02-08 14:39:20,Duplicate txn
CHG00000339,TXN000004045,Ops_User_32,Status Update,Completed,Completed,2023-10-14 16:21:04,Duplicate txn
CHG00000340,TXN000002700,System,Channel Update,Mobile App,Branch,2024-04-27 14:20:23,Bank correction
CHG00000341,TXN000003364,Ops_User_3,Merchant Update,Groceries,Education,2024-04-12 07:08:07,Bank correction
CHG00000342,TXN000002248,System,Channel Update,Branch,POS,2024-09-16 20:44:44,Bank correction
CHG00000343,TXN000001406,Ops_User_9,Reversal,Failed,Reversed,2025-07-07 07:34:58,Chargeback
CHG00000344,TXN000002840,Ops_User_13,Merchant Update,Education,Groceries,2025-06-07 12:22:15,Bank correction
CHG00000345,TXN000003030,Ops_User_23,Merchant Update,Entertainment,Education,2023-09-25 20:22:27,Customer dispute
CHG00000346,TXN000000857,System,Status Update,Pending,Pending,2022-02-20 15:31:42,Customer dispute
CHG00000347,TXN000000352,System,Merchant Update,E-commerce,Entertainment,2024-09-04 16:04:21,Bank correction
CHG00000348,TXN000002829,Ops_User_21,Channel Update,POS,Online,2023-03-14 15:41:15,Chargeback
CHG00000349,TXN000002292,System,Status Update,Completed,Completed,2023-12-14 13:02:17,Manual review
CHG00000350,TXN000000370,Ops_User_7,Merchant Update,Dining,Education,2023-08-22 08:24:18,Chargeback
CHG00000351,TXN000002740,System,Amount Correction,99923.49,100668.8494966216,2025-07-18 02:54:08,Chargeback
CHG00000352,TXN000003528,Ops_User_18,Merchant Update,E-commerce,Travel,2024-06-04 08:13:40,Duplicate txn
CHG00000353,TXN000001852,System,Channel Update,Online,ATM,2025-05-17 09:33:42,Chargeback
CHG00000354,TXN000001280,System,Amount Correction,2121.67,2162.352653842125,2025-09-01 09:39:27,Manual review
CHG00000355,TXN000003253,Ops_User_39,Status Update,Completed,Pending,2023-05-22 02:26:16,Chargeback
CHG00000356,TXN000000375,System,Status Update,Completed,Completed,2023-12-23 16:55:44,Manual review
CHG00000357,TXN000003103,Ops_User_27,Amount Correction,20137.27,21246.545395716726,2024-05-12 07:31:45,Manual review
CHG00000358,TXN000002909,System,Channel Update,POS,ATM,2024-05-04 14:34:14,Manual review
CHG00000359,TXN000001067,System,Amount Correction,4930.18,5307.126207444508,2022-01-21 18:47:10,Chargeback
CHG00000360,TXN000003783,System,Channel Update,ATM,Online,2022-01-11 18:15:06,Bank correction
CHG00000361,TXN000001316,Ops_User_13,Reversal,Completed,Reversed,2024-04-15 21:03:23,Bank correction
CHG00000362,TXN000003221,System,Merchant Update,Utilities,Dining,2025-05-05 23:19:56,Bank correction
CHG00000363,TXN000001592,Ops_User_1,Amount Correction,41628.73,43618.636598606565,2022-04-20 13:11:58,Customer dispute
CHG00000364,TXN000002524,System,Channel Update,ATM,Online,2022-09-16 08:12:59,Bank correction
CHG00000365,TXN000000243,Ops_User_25,Channel Update,ATM,Mobile App,2022-09-17 22:41:54,Customer dispute
CHG00000366,TXN000002456,System,Status Update,Completed,Completed,2024-06-17 13:39:57,Chargeback
CHG00000367,TXN000004800,Ops_User_9,Status Update,Completed,Failed,2025-02-14 00:04:11,Bank correction
CHG00000368,TXN000000212,Ops_User_39,Amount Correction,90786.86,85103.0261313083,2025-08-11 16:41:27,Bank correction
CHG00000369,TXN000002384,System,Merchant Update,E-commerce,Entertainment,2023-04-21 21:36:29,Chargeback
CHG00000370,TXN000004950,Ops_User_36,Merchant Update,Dining,Entertainment,2024-09-28 18:19:17,Duplicate txn
CHG00000371,TXN000004666,System,Reversal,Pending,Reversed,2022-03-24 08:35:45,Chargeback
CHG00000372,TXN000002794,Ops_User_16,Amount Correction,44167.25,44123.62144361314,2023-07-19 06:40:01,Chargeback
CHG00000373,TXN000004299,System,Merchant Update,Healthcare,Salary,2023-02-12 20:22:17,Manual review
CHG00000374,TXN000001441,System,Channel Update,ATM,Online,2024-10-26 07:57:58,Chargeback
CHG00000375,TXN000002086,Ops_User_36,Reversal,Completed,Reversed,2023-07-23 01:28:59,Bank correction
CHG00000376,TXN000001715,Ops_User_38,Amount Correction,79.13,78.51180416019182,2022-05-15 01:13:31,Duplicate txn
CHG00000377,TXN000002614,Ops_User_40,Channel Update,POS,ATM,2022-04-11 04:08:52,Manual review
CHG00000378,TXN000002183,System,Reversal,Completed,Reversed,2022-10-18 15:40:42,Manual review
CHG00000379,TXN000000053,Ops_User_18,Channel Update,Branch,ATM,2025-08-14 16:28:48,Duplicate txn
CHG00000380,TXN000000922,System,Status Update,Pending,Pending,2024-01-06 02:23:47,Bank correction
CHG00000381,TXN000001644,Ops_User_34,Reversal,Completed,Reversed,2024-04-12 16:48:01,Manual review
CHG00000382,TXN000004947,System,Reversal,Completed,Reversed,2024-06-14 06:39:19,Bank correction
CHG00000383,TXN000003664,System,Channel Update,Online,Mobile App,2025-10-07 05:18:54,Manual review
CHG00000384,TXN000000864,System,Status Update,Completed,Completed,2023-07-07 05:43:56,Manual review
CHG00000385,TXN000003692,Ops_User_37,Status Update,Completed,Completed,2023-03-20 01:56:37,Bank correction
CHG00000386,TXN000000674,Ops_User_29,Reversal,Completed,Reversed,2024-12-01 01:29:38,Bank correction
CHG00000387,TXN000000887,Ops_User_22,Channel Update,POS,Online,2025-06-26 17:00:33,Duplicate txn
CHG00000388,TXN000000546,Ops_User_2,Merchant Update,Dining,Fuel,2023-10-22 04:49:06,Chargeback
CHG00000389,TXN000002485,Ops_User_7,Status Update,Completed,Completed,2024-12-14 23:08:21,Chargeback
CHG00000390,TXN000002877,System,Amount Correction,122971.98,125844.02625460205,2023-03-01 09:34:44,Bank correction
CHG00000391,TXN000001411,System,Reversal,Completed,Reversed,2022-01-08 06:03:54,Bank correction
CHG00000392,TXN000000280,System,Reversal,Pending,Reversed,2023-09-03 17:33:46,Manual review
CHG00000393,TXN000003504,Ops_User_18,Reversal,Completed,Reversed,2022-03-20 15:09:05,Chargeback
CHG00000394,TXN000004750,Ops_User_11,Merchant Update,Fuel,Education,2024-04-07 10:56:06,Manual review
CHG00000395,TXN000003437,System,Merchant Update,Dining,Healthcare,2024-12-01 23:16:48,Chargeback
CHG00000396,TXN000002320,System,Merchant Update,Salary,Entertainment,2024-08-17 23:41:10,Customer dispute
CHG00000397,TXN000000566,Ops_User_3,Status Update,Completed,Completed,2023-01-24 02:55:45,Duplicate txn
CHG00000398,TXN000002183,System,Reversal,Completed,Reversed,2025-06-27 18:46:20,Duplicate txn
CHG00000399,TXN000002935,System,Amount Correction,124336.24,130273.90584863324,2022-09-01 17:14:21,Bank correction
CHG00000400,TXN000003928,Ops_User_23,Channel Update,POS,Mobile App,2023-01-23 02:33:55,Bank correction
